"""P_Name""", """hex1""", """hex2""", """hex3""", """hex4""", """hex5"""
"""MATERIAL 1""","""#e64a19""","""#ff5722""","""#ffffff""","""#ffc107""","""#212121"""
"""BIRD""","""#454545""","""#4b89db""","""#96caf5""","""#c4c4c4""","""#e8db2c"""
"""CYAN""","""#76e89e""","""#c7fcda""","""#4f96e8""","""#7ee3f7""","""#4f4f4f"""
"""TOWN""","""#ded22f""","""#ede247""","""#ffefe0""","""#f78a66""","""#fafafa"""
"""PORT""","""#595959""","""#918e8e""","""#f5f5d7""","""#ffcea6""","""#ed974c"""
"""VINTAGE""","""#997616""","""#dec266""","""#ebe1bf""","""#71b4d6""","""#447996"""
"""REFLECTION""","""#e8f2ff""","""#cde2fc""","""#aacffa""","""#3070bf""","""#1f508c"""
"""SKY FIRE""","""#f2db30""","""#f0b341""","""#f29141""","""#a36f2c""","""#454545"""
"""FRUITS""","""#4bb54c""","""#f7c3da""","""#ebd7bf""","""#eba857""","""#ed7371"""
"""UI 4""","""#5500f2""","""#3800b0""","""#bb86dc""","""#fcfcfc""","""#e0e0e0"""
"""UI 3""","""#dd9eff""","""#858585""","""#595959""","""#66f7ff""","""#ffffff"""
"""UI 2""","""#ff7733""","""#ffffff""","""#c2c2c2""","""#858585""","""#616161"""
"""UI 1""","""#4f5bff""","""#ffffff""","""#ebebeb""","""#b0b0b0""","""#3d3d3d"""
"""MUSIC""","""#ff5c5c""","""#ff8585""","""#ffffff""","""#ffbd42""","""#4f4f4f"""
"""BUCKS""","""#2f8012""","""#51ad30""","""#74b85c""","""#e3e3e3""","""#ffffff"""
"""NEWS""","""#eb932f""","""#edad63""","""#ffffff""","""#b8b8b8""","""#919191"""
"""COLORFFY""","""#255dce""","""#1c9fe7""","""#ffffff""","""#fafbfe""","""#6c757d"""
"""BRAVE""","""#5144e3""","""#8378f5""","""#ffffff""","""#e6b565""","""#e6a747"""
"""INTERNATIONAL""","""#bd8500""","""#e49912""","""#f7af3c""","""#fbbc5b""","""#ffca7a"""
"""WOMEN'S""","""#7c30ed""","""#8257f5""","""#a987ff""","""#c700b9""","""#aa00d7"""
"""DAY""","""#99044f""","""#d4147a""","""#f449c3""","""#fa7ad7""","""#ffacea"""
"""CANDY""","""#87005a""","""#cd0088""","""#f249db""","""#9bf9e0""","""#fff6f2"""
"""POND""","""#001787""","""#0063cd""","""#49f2aa""","""#b7f99b""","""#fffdf2"""
"""STRONG""","""#870071""","""#5d00cd""","""#494af2""","""#9ba3f9""","""#f2f4ff"""
"""DEEPNESS""","""#170087""","""#005dcd""","""#49dbf2""","""#9bf2f9""","""#f2ffff"""
"""PURE YELLOW""","""#877100""","""#cdaa00""","""#f2d649""","""#f9e99b""","""#fffdf2"""
"""PURE GREEN""","""#008717""","""#00cd22""","""#49f265""","""#9bf9ab""","""#f2fff4"""
